School ID,school_name,type,size,budget,budget/student
0,Huang High School,District,2917,1910635,655
1,Figueroa High School,District,2949,1884411,639
2,Shelton High School,Charter,1761,1056600,600
3,Hernandez High School,District,4635,3022020,652
4,Griffin High School,Charter,1468,917500,625
5,Wilson High School,Charter,2283,1319574,578
6,Cabrera High School,Charter,1858,1081356,582
7,Bailey High School,District,4976,3124928,628
8,Holden High School,Charter,427,248087,581
9,Pena High School,Charter,962,585858,609
10,Wright High School,Charter,1800,1049400,583
11,Rodriguez High School,District,3999,2547363,637
12,Johnson High School,District,4761,3094650,650
13,Ford High School,District,2739,1763916,644
14,Thomas High School,Charter,1635,1043130,638
